transaction_id,customer_id,amount,transaction_type,merchant_category,is_weekend,hour_of_day,days_since_last_transaction,amount_vs_avg_ratio,is_international,event_time
txn_00000066,cust_000850,122.32,Purchase,Department Store,0,2,10,0.29,0,1729562068.001332
txn_00000067,cust_000653,30.53,Withdrawal,Entertainment,1,18,0,0.353,0,1751735588.730089
txn_00000068,cust_000438,43.02,Purchase,Gas Station,1,20,0,1.681,0,1738529039.345679
txn_00000069,cust_000708,91.48,Purchase,Department Store,1,1,1,0.206,0,1749342971.890856
txn_00000070,cust_000152,61.95,Purchase,ATM,0,0,1,0.491,0,1734394034.235551
txn_00000071,cust_000956,58.7,Purchase,Department Store,0,17,1,0.405,0,1745943193.465092
txn_00000072,cust_000256,14.19,Transfer,Travel,0,13,10,0.267,0,1741872692.495945
txn_00000073,cust_000417,124.53,Withdrawal,Online,0,14,1,0.62,0,1751547604.804033
txn_00000074,cust_001000,91.75,Withdrawal,Pharmacy,0,2,0,1.893,0,1746061917.833287
txn_00000075,cust_000755,8.25,Payment,Online,1,13,0,0.26,0,1749991311.80088
txn_00000076,cust_000807,30.23,Payment,Grocery,0,2,9,0.14,0,1742955789.399323
txn_00000077,cust_000228,32.59,Payment,Department Store,0,23,0,0.088,0,1727130409.225835
txn_00000078,cust_000815,28.41,Withdrawal,Grocery,0,3,0,0.195,0,1748314723.717119
txn_00000079,cust_000409,232.8,Purchase,ATM,1,22,1,0.688,0,1731192349.351114
txn_00000080,cust_000522,32.43,Transfer,Grocery,0,0,0,0.141,0,1733444537.987322
txn_00000081,cust_000994,37.16,Transfer,Grocery,0,11,0,0.153,0,1729074362.891505
txn_00000082,cust_000445,27.07,Transfer,Pharmacy,1,7,0,1.09,0,1731741869.212077
txn_00000083,cust_000524,25.75,Withdrawal,ATM,1,8,4,0.174,0,1724483685.903292
txn_00000084,cust_000447,40.92,Withdrawal,Department Store,1,18,4,1.586,0,1720890016.608046
txn_00000085,cust_000972,11.86,Transfer,Other,0,13,0,0.085,0,1741787680.089505
txn_00000086,cust_000869,74.01,Transfer,Travel,0,14,4,0.338,0,1724766864.412935
txn_00000087,cust_000419,207.3,Transfer,Travel,1,4,0,0.687,0,1731126784.545726
txn_00000088,cust_000431,70.91,Payment,Restaurant,0,19,7,0.464,0,1741809495.095477
txn_00000089,cust_000309,47.16,Purchase,ATM,1,8,1,0.259,0,1733646266.9801
txn_00000090,cust_000441,33.89,Transfer,Entertainment,0,22,0,0.105,0,1745616370.841476
txn_00000091,cust_000692,204.62,Payment,Restaurant,1,3,5,1.154,0,1727575967.839735
txn_00000092,cust_000291,32.68,Transfer,Gas Station,0,6,6,0.471,0,1737095575.042829
txn_00000093,cust_000770,166.03,Transfer,Online,1,20,0,2.542,0,1728243496.581281
txn_00000094,cust_000151,45.91,Withdrawal,Entertainment,0,1,2,0.535,0,1721606959.485496
txn_00000095,cust_000787,39.98,Payment,Other,0,17,1,0.196,0,1723133391.493708
txn_00000096,cust_000714,52.91,Payment,Online,1,6,1,0.091,0,1732949425.405841
txn_00000097,cust_000705,110.52,Purchase,Pharmacy,0,3,1,4.093,0,1721011541.842944
txn_00000098,cust_000824,61.89,Payment,Grocery,0,18,11,0.436,0,1751047097.567471
txn_00000099,cust_000940,34.82,Payment,Restaurant,1,18,3,1.757,0,1747589815.508225
txn_00000100,cust_000684,102.86,Transfer,Entertainment,0,23,0,8.44,0,1737590055.610485
txn_00000101,cust_000737,40.09,Payment,Travel,0,17,12,0.176,0,1748967432.523553
txn_00000102,cust_000163,73.66,Payment,Entertainment,0,13,3,1.018,0,1744288598.482088
txn_00000103,cust_000254,77.55,Transfer,Travel,0,16,1,0.692,0,1747322596.489126
txn_00000104,cust_000245,80.73,Purchase,ATM,0,8,0,1.223,0,1729496385.544134
txn_00000105,cust_000344,14.63,Purchase,Restaurant,0,19,0,0.269,0,1730922641.407797
txn_00000106,cust_000393,12.42,Withdrawal,Gas Station,1,10,6,0.063,0,1742724681.738806
txn_00000107,cust_000339,123.87,Payment,Grocery,0,4,4,0.579,0,1737952065.385074
txn_00000108,cust_000431,33.95,Purchase,Other,0,7,2,0.222,0,1733122821.222408
txn_00000109,cust_000007,54.92,Transfer,Pharmacy,1,5,6,0.408,0,1750566981.366985
txn_00000110,cust_000977,52.89,Withdrawal,Entertainment,0,4,1,0.756,0,1747192219.820441
txn_00000111,cust_000447,13.91,Payment,Department Store,0,9,2,0.539,0,1736155486.374573
txn_00000112,cust_000818,9.15,Withdrawal,Entertainment,1,17,2,0.21,0,1733590810.936068
txn_00000113,cust_000638,11.51,Payment,Other,0,2,7,0.062,0,1737684403.23908
txn_00000114,cust_000028,53.04,Payment,Restaurant,0,18,2,0.27,0,1723484047.624884
txn_00000115,cust_000187,111.88,Payment,Department Store,0,11,4,3.756,0,1722422456.65984
txn_00000116,cust_000335,23.36,Payment,ATM,0,7,9,0.119,0,1731483697.742201
txn_00000117,cust_000852,40.2,Purchase,Entertainment,1,0,1,0.122,1,1734134748.834807
txn_00000118,cust_000553,33.09,Transfer,Online,0,3,1,0.334,0,1722479252.199702
txn_00000119,cust_000800,75.05,Purchase,Grocery,0,13,9,0.171,0,1751025639.227299
txn_00000120,cust_000205,178.76,Withdrawal,Online,0,10,1,0.668,0,1747302601.354574
txn_00000121,cust_000686,80.22,Withdrawal,Entertainment,0,21,0,2.542,0,1724444066.030646
txn_00000122,cust_000786,16.14,Purchase,Restaurant,1,18,0,0.259,0,1732473758.675591
txn_00000123,cust_000111,34.73,Transfer,Other,1,8,2,0.794,0,1739089682.182555
txn_00000124,cust_000982,16.12,Withdrawal,Gas Station,0,2,0,0.131,0,1732675960.73058
txn_00000125,cust_000851,54.55,Purchase,ATM,0,1,2,0.23,0,1740620996.645818
txn_00000126,cust_000615,19.44,Purchase,Department Store,1,3,0,0.08,0,1746239810.319689
txn_00000127,cust_000678,105.84,Transfer,Grocery,0,9,20,0.697,0,1732526603.610556
txn_00000128,cust_000843,46.27,Payment,Department Store,0,1,13,0.457,0,1736299281.426721
txn_00000129,cust_000849,44.45,Withdrawal,Pharmacy,0,22,3,1.062,0,1735338620.524112
txn_00000130,cust_000535,63.55,Transfer,Other,0,12,1,0.366,0,1751283860.046467
txn_00000131,cust_000552,12.91,Payment,Pharmacy,0,21,2,0.055,0,1745265773.237061
txn_00000132,cust_000607,68.99,Withdrawal,Gas Station,1,2,2,0.898,0,1729300802.146063
txn_00000133,cust_000462,22.27,Payment,Other,0,3,1,0.287,0,1728527157.876469
txn_00000134,cust_000389,8.44,Payment,Department Store,0,22,2,0.032,0,1731448884.263037
txn_00000135,cust_000218,89.36,Transfer,Department Store,0,15,4,1.663,0,1732030040.591472
txn_00000136,cust_000611,231.76,Transfer,Travel,0,1,7,0.648,1,1742952811.208619
txn_00000137,cust_000971,75.25,Withdrawal,Pharmacy,0,20,0,0.341,0,1726861835.830494
txn_00000138,cust_000777,106.69,Payment,Entertainment,0,20,3,0.325,0,1728415536.107756
txn_00000139,cust_000018,235.1,Withdrawal,Pharmacy,0,2,5,0.74,0,1723771210.921235
txn_00000140,cust_000314,56.88,Transfer,Entertainment,0,11,4,0.256,0,1741778923.69922
txn_00000141,cust_000353,137.65,Transfer,Department Store,1,10,3,0.517,0,1734258968.695615
txn_00000142,cust_000278,126.68,Withdrawal,Gas Station,1,1,8,1.543,0,1730509943.11332
txn_00000143,cust_000324,223.32,Withdrawal,Online,1,18,3,0.613,0,1724606958.778362
txn_00000144,cust_000496,71.52,Transfer,Gas Station,0,1,0,0.465,0,1729556372.694228
txn_00000145,cust_000304,17.81,Withdrawal,ATM,0,3,0,0.264,1,1728010589.501729
txn_00000146,cust_000547,240.08,Purchase,Grocery,0,8,4,1.881,0,1724828600.679909
txn_00000147,cust_000715,44.71,Payment,Gas Station,1,17,0,0.234,0,1750609490.550341
txn_00000148,cust_000588,33.33,Payment,Entertainment,0,22,1,0.203,0,1729803605.47874
txn_00000149,cust_000989,16.17,Payment,Gas Station,0,21,1,0.096,0,1722456896.611244
txn_00000150,cust_000411,30.01,Purchase,Restaurant,0,14,1,0.239,0,1736347999.983482
txn_00000151,cust_000577,23.34,Purchase,Online,0,13,0,0.117,0,1750768306.715546
txn_00000152,cust_000783,29.27,Withdrawal,Travel,0,0,3,0.168,0,1733964744.397339
txn_00000153,cust_000931,58.6,Payment,ATM,1,17,4,1.239,0,1734801930.040897
txn_00000154,cust_000062,25.86,Purchase,Online,0,15,1,0.482,0,1740065600.906705
txn_00000155,cust_000271,37.55,Withdrawal,Online,0,4,4,1.08,0,1741667542.192631
txn_00000156,cust_000077,121.32,Payment,Entertainment,1,6,0,0.511,0,1725773093.018758
txn_00000157,cust_000482,49.84,Withdrawal,ATM,1,10,1,0.286,0,1730025433.397025
txn_00000158,cust_000720,80.65,Purchase,Online,0,21,0,1.544,0,1747945238.337698
txn_00000159,cust_000807,90.33,Withdrawal,Pharmacy,1,22,1,0.419,0,1745789469.345881
txn_00000160,cust_000231,20.46,Transfer,Restaurant,0,12,4,0.218,0,1741264089.095364
txn_00000161,cust_000170,61.47,Transfer,Entertainment,0,10,0,0.582,0,1745833014.922848
txn_00000162,cust_000706,47.01,Payment,ATM,0,3,0,0.15,0,1730430100.243163
txn_00000163,cust_000506,20.23,Purchase,Pharmacy,0,21,0,0.518,0,1734645443.979737
txn_00000164,cust_000619,36.73,Purchase,Online,1,12,0,2.867,0,1728732282.628608
txn_00000165,cust_000857,61.76,Purchase,ATM,0,5,5,0.645,0,1747973940.559308
txn_00000166,cust_000782,35.1,Payment,Travel,0,4,2,0.144,0,1744686374.294033
txn_00000167,cust_000939,56.43,Payment,Entertainment,0,15,3,0.296,0,1729608626.126687
txn_00000168,cust_000482,22.65,Transfer,Department Store,1,3,1,0.13,0,1731813580.329451
txn_00000169,cust_000879,41.95,Payment,Entertainment,0,20,4,0.944,0,1725908453.011592
txn_00000170,cust_000968,22.09,Purchase,Entertainment,0,7,1,0.681,0,1733468942.765946
txn_00000171,cust_000259,56.92,Payment,Travel,0,3,0,0.136,0,1731035042.582143
txn_00000172,cust_000002,120.59,Payment,Pharmacy,0,4,1,1.122,0,1741580258.406275
txn_00000173,cust_000531,26.24,Payment,Entertainment,0,4,0,0.389,0,1732249354.32835
txn_00000174,cust_000209,32.36,Withdrawal,ATM,0,14,0,0.245,0,1729258565.988318
txn_00000175,cust_000716,69.58,Purchase,Other,0,1,10,0.318,0,1736126151.686758
txn_00000176,cust_000727,19.12,Purchase,Travel,1,22,2,0.136,0,1725831294.231905
txn_00000177,cust_000231,11.9,Purchase,Entertainment,0,7,1,0.127,0,1752128501.606111
txn_00000178,cust_000664,82.22,Payment,ATM,0,20,0,0.551,0,1747079147.586119
txn_00000179,cust_000280,5.0,Payment,Entertainment,0,18,0,0.068,0,1733943183.912952
txn_00000180,cust_000565,34.91,Withdrawal,Other,0,22,4,1.62,0,1725398109.576305
txn_00000181,cust_000901,16.43,Purchase,ATM,1,23,0,0.054,0,1725141607.613161
txn_00000182,cust_000875,30.95,Transfer,Grocery,0,14,2,0.2,0,1733925904.727258
txn_00000183,cust_000306,18.52,Payment,Restaurant,0,19,0,0.254,0,1747247321.153459
txn_00000184,cust_000496,64.97,Payment,Entertainment,1,2,2,0.422,0,1731724109.083374
txn_00000185,cust_000891,129.01,Withdrawal,Other,0,23,2,0.327,0,1726786021.71537
txn_00000186,cust_000877,17.26,Purchase,Department Store,0,4,0,0.168,0,1745294251.024873
txn_00000187,cust_000723,59.36,Payment,Pharmacy,0,12,1,0.48,0,1749642614.230503
txn_00000188,cust_000812,39.56,Withdrawal,Entertainment,0,16,0,0.177,0,1746719775.248856
txn_00000189,cust_000130,67.99,Transfer,Gas Station,1,11,1,0.155,0,1736680534.168736
txn_00000190,cust_000451,130.48,Payment,Grocery,1,12,0,0.611,0,1723981188.558134
txn_00000191,cust_000420,11.92,Withdrawal,Gas Station,0,0,10,0.465,0,1748302422.642612
txn_00000192,cust_000993,115.45,Payment,Gas Station,0,20,3,0.372,0,1729194438.833824
txn_00000193,cust_000873,74.15,Payment,Department Store,1,6,1,0.35,0,1742106818.42532
txn_00000194,cust_000909,15.81,Purchase,Other,0,7,2,0.102,0,1744785175.917311
txn_00000195,cust_000647,40.31,Transfer,Online,0,22,0,0.518,0,1742423505.436608
txn_00000196,cust_000445,137.14,Purchase,Entertainment,1,5,3,5.523,0,1751689539.055306
txn_00000197,cust_000307,13.88,Purchase,Department Store,1,21,1,0.469,0,1749327061.678967
txn_00000198,cust_000301,214.01,Payment,Restaurant,0,23,4,0.621,0,1732144780.420927
txn_00000199,cust_000422,33.28,Withdrawal,Restaurant,0,16,1,0.138,0,1738687387.818724
txn_00000200,cust_000625,141.09,Withdrawal,Entertainment,0,23,2,0.435,0,1748299478.041007
txn_00000201,cust_000147,46.69,Transfer,Entertainment,1,21,2,0.276,0,1728158975.237435
txn_00000202,cust_000010,45.33,Payment,ATM,0,5,14,0.17,0,1749184659.913844
txn_00000203,cust_000162,36.23,Transfer,Other,0,2,2,0.208,0,1723165989.345464
txn_00000204,cust_000986,62.97,Transfer,Entertainment,1,0,2,0.903,0,1734221287.141446
txn_00000205,cust_000204,36.09,Payment,Gas Station,1,21,1,1.306,0,1752352925.219757
txn_00000206,cust_000586,53.96,Transfer,ATM,0,3,2,0.183,0,1732160416.451499
txn_00000207,cust_000850,82.44,Transfer,Grocery,0,9,0,0.195,0,1741598215.93327
txn_00000208,cust_000703,25.54,Purchase,Other,0,5,5,0.198,0,1745381515.573068
txn_00000209,cust_000853,86.84,Transfer,Online,1,3,3,0.703,0,1749350121.711768
txn_00000210,cust_000361,135.16,Withdrawal,Other,0,1,5,0.422,0,1727743207.59778
txn_00000211,cust_000774,28.31,Withdrawal,Gas Station,0,6,3,0.357,0,1743571877.74483
txn_00000212,cust_000662,12.45,Payment,Grocery,1,12,3,0.084,0,1722079910.750571
txn_00000213,cust_000750,17.18,Transfer,Department Store,0,2,0,1.498,0,1724980883.185419
txn_00000214,cust_000180,309.78,Transfer,Travel,0,10,7,0.583,0,1727168945.102228
txn_00000215,cust_000280,21.41,Transfer,Entertainment,0,6,4,0.291,0,1747026464.98882
txn_00000216,cust_000303,38.18,Transfer,Gas Station,0,15,7,1.263,0,1744380176.142356
txn_00000217,cust_000078,44.11,Withdrawal,Pharmacy,0,12,8,1.038,0,1725275593.683369
txn_00000218,cust_000824,38.82,Purchase,Pharmacy,1,13,8,0.274,1,1738415691.177531
txn_00000219,cust_000550,35.39,Transfer,ATM,0,5,1,1.448,0,1724734174.860716
txn_00000220,cust_000843,107.62,Transfer,Gas Station,0,4,0,1.063,0,1740977570.16751
txn_00000221,cust_000483,30.67,Transfer,Other,0,6,1,0.305,0,1721625857.809394
txn_00000222,cust_000065,52.45,Payment,ATM,1,1,0,0.168,0,1740878378.554254
txn_00000223,cust_000120,14.55,Purchase,ATM,0,3,5,0.078,0,1725244688.324571
txn_00000224,cust_000119,66.56,Withdrawal,Pharmacy,1,14,1,0.214,0,1723901727.326681
txn_00000225,cust_000687,57.9,Payment,Other,0,15,0,1.419,0,1750776352.370781
txn_00000226,cust_000159,418.97,Purchase,Entertainment,1,7,8,2.64,0,1748759089.5472
txn_00000227,cust_000962,17.98,Purchase,Department Store,0,10,0,0.04,0,1750843863.28256
txn_00000228,cust_000456,70.15,Transfer,Gas Station,0,2,1,0.529,0,1750813388.294578
txn_00000229,cust_000377,32.43,Transfer,Grocery,0,20,2,0.811,0,1738010555.865844
txn_00000230,cust_000195,30.78,Payment,Gas Station,0,12,6,0.723,0,1751370052.497673
txn_00000231,cust_000658,31.37,Purchase,Grocery,0,13,0,0.142,0,1741007329.136896
txn_00000232,cust_000250,71.33,Withdrawal,Gas Station,0,1,1,0.731,0,1752020136.48484
txn_00000233,cust_000568,27.83,Withdrawal,Online,0,17,11,0.409,0,1727369595.289395
txn_00000234,cust_000152,65.68,Purchase,ATM,1,23,2,0.521,0,1745707349.893042
txn_00000235,cust_000149,35.83,Transfer,Restaurant,0,13,5,0.214,0,1751979341.528635
txn_00000236,cust_000888,70.39,Purchase,Department Store,0,13,5,0.489,0,1721649683.261801
txn_00000237,cust_000244,92.38,Purchase,Restaurant,0,1,3,0.24,0,1739410346.207926
txn_00000238,cust_000130,1307.79,Purchase,Gas Station,0,20,0,2.987,0,1744227501.102249
txn_00000239,cust_000797,132.7,Purchase,Entertainment,0,6,1,0.63,0,1732257541.536452
txn_00000240,cust_000969,40.72,Transfer,Entertainment,1,15,0,0.711,0,1740238289.647209
txn_00000241,cust_000032,198.87,Payment,Pharmacy,1,8,0,0.752,0,1722754870.50889
txn_00000242,cust_000111,22.33,Payment,Gas Station,0,1,0,0.51,0,1736301399.042435
txn_00000243,cust_000330,42.84,Purchase,Restaurant,0,3,0,0.85,0,1740023548.009847
txn_00000244,cust_000649,38.5,Transfer,Pharmacy,0,18,3,0.533,0,1739300341.276197
txn_00000245,cust_000544,83.11,Payment,Gas Station,0,18,10,0.845,0,1730140175.774419
txn_00000246,cust_000118,51.99,Withdrawal,Pharmacy,0,9,0,0.197,0,1747730352.221496
txn_00000247,cust_000234,119.36,Payment,Pharmacy,0,4,0,0.42,0,1733890305.238778
txn_00000248,cust_000098,34.19,Transfer,ATM,0,5,0,0.318,0,1730696805.223653
txn_00000249,cust_000157,13.89,Payment,Gas Station,0,19,1,0.057,0,1742499868.63263
txn_00000250,cust_000088,45.02,Purchase,Department Store,0,3,0,1.227,0,1723776784.94547
txn_00000251,cust_000570,56.44,Transfer,Gas Station,1,0,6,0.73,0,1722728240.579432
txn_00000252,cust_000895,97.85,Payment,Grocery,0,23,0,1.846,0,1741822459.096955
txn_00000253,cust_000615,17.37,Purchase,Other,0,4,1,0.072,0,1730693668.939771
txn_00000254,cust_000159,70.0,Withdrawal,Gas Station,1,20,4,0.441,0,1741551116.509177
txn_00000255,cust_000570,47.44,Transfer,Other,1,7,3,0.614,0,1732431685.750349
txn_00000256,cust_000440,21.88,Purchase,Other,1,14,9,0.435,0,1747489493.625794
txn_00000257,cust_000850,152.77,Purchase,Restaurant,1,5,2,0.362,0,1742709587.838359
txn_00000258,cust_000781,270.2,Transfer,Department Store,1,21,0,0.649,1,1730584421.605083
txn_00000259,cust_000891,287.82,Payment,Gas Station,0,10,3,0.729,0,1725354259.457569
txn_00000260,cust_000649,9.5,Purchase,Travel,0,20,2,0.131,0,1751483690.670496
txn_00000261,cust_000430,27.45,Withdrawal,Department Store,0,17,0,0.085,0,1735146454.112807
txn_00000262,cust_000333,31.93,Purchase,Grocery,0,16,3,0.115,0,1745334968.569414
txn_00000263,cust_000773,162.66,Purchase,ATM,1,15,1,1.979,0,1740324425.363362
txn_00000264,cust_000435,69.49,Payment,Pharmacy,0,9,0,3.07,0,1736156107.983585
txn_00000265,cust_000774,56.76,Transfer,Pharmacy,0,3,1,0.716,0,1736997633.557887
txn_00000266,cust_000695,161.5,Payment,Travel,0,18,2,0.477,0,1742237022.988259
txn_00000267,cust_000047,175.45,Purchase,Grocery,0,14,5,1.333,0,1727790949.840151
txn_00000268,cust_000969,17.47,Withdrawal,ATM,1,5,3,0.305,0,1727498155.226835
txn_00000269,cust_000123,5.0,Payment,Restaurant,0,22,3,0.013,0,1721080450.791713
txn_00000270,cust_000546,62.67,Transfer,Gas Station,0,23,3,0.519,0,1743031257.420179
txn_00000271,cust_000760,282.22,Purchase,Entertainment,1,13,0,0.705,0,1722170724.578787
txn_00000272,cust_000883,194.83,Payment,Other,0,9,9,0.652,0,1730712960.507183
txn_00000273,cust_000656,22.74,Purchase,Pharmacy,0,14,2,0.799,0,1734012677.175767
txn_00000274,cust_000333,147.11,Payment,Department Store,0,20,0,0.529,0,1726256873.080853
txn_00000275,cust_000865,106.21,Payment,Other,0,18,2,0.351,0,1724175180.232906
txn_00000276,cust_000081,45.32,Transfer,Department Store,0,14,2,3.068,0,1733321179.010299
txn_00000277,cust_000798,21.98,Purchase,Travel,0,12,0,0.168,0,1726138913.539072
txn_00000278,cust_000928,69.22,Transfer,Restaurant,0,10,4,0.171,0,1745315813.898115
txn_00000279,cust_000150,51.39,Withdrawal,Other,0,13,3,0.322,0,1728908894.30719
txn_00000280,cust_000778,57.0,Withdrawal,Entertainment,1,9,7,0.74,0,1741512412.613862
txn_00000281,cust_000578,61.45,Payment,Other,0,11,2,0.192,0,1744800166.248173
txn_00000282,cust_000640,28.31,Transfer,Restaurant,0,2,2,1.94,0,1731032975.566608
txn_00000283,cust_000481,123.35,Transfer,ATM,1,12,4,0.511,0,1734785753.959284
txn_00000284,cust_000361,35.89,Transfer,Entertainment,0,7,0,0.112,0,1736839656.472641
txn_00000285,cust_000059,25.72,Transfer,Gas Station,1,17,6,0.106,0,1732468789.395654
txn_00000286,cust_000876,35.0,Payment,Entertainment,0,2,2,2.094,0,1723684271.008707
txn_00000287,cust_000978,23.36,Purchase,Entertainment,0,3,0,0.296,0,1745807446.512703
txn_00000288,cust_000586,138.47,Transfer,Other,1,1,0,0.471,0,1741396626.427942
txn_00000289,cust_000155,25.38,Payment,Gas Station,0,16,2,0.21,0,1751039412.76736
txn_00000290,cust_000858,28.38,Purchase,Travel,0,11,0,0.262,0,1731670934.156979
txn_00000291,cust_000041,13.02,Payment,Entertainment,0,13,2,0.041,0,1728649526.525538
txn_00000292,cust_000625,78.84,Transfer,ATM,0,1,3,0.243,0,1725842900.873049
txn_00000293,cust_000794,46.13,Purchase,Department Store,0,15,1,0.747,0,1731511026.800934
txn_00000294,cust_000097,22.93,Payment,ATM,1,18,1,0.119,0,1738436208.32497
